TK_ID	Sex	SpawnDate
MKHM100001	Female	12/9/10
MKHM100002	Male	12/9/10
MKHM100003	Male	12/9/10
MKHM100004	Female	12/9/10
MKHM100005	Male	12/9/10
MKHM100006	Female	12/9/10
MKHM100007	Male	12/9/10
MKHM100008	Female	12/16/10
MKHM100009	Male	12/16/10
MKHM100010	Female	12/16/10
MKHM100011	Male	12/16/10
MKHM100012	Female	12/16/10
MKHM100013	Male	12/16/10
MKHM100014	Male	12/16/10
MKHM100015	Female	12/16/10
MKHM100016	Male	12/16/10
MKHM100017	Male	12/16/10
MKHM100018	Female	12/16/10
MKHM100019	Male	12/16/10
MKHM100020	Female	12/23/10
MKHM100021	Male	12/23/10
MKHM100022	Female	12/23/10
MKHM100023	Male	12/23/10
MKHM100024	Female	12/23/10
MKHM100025	Male	12/23/10
MKHM100026	Female	12/23/10
MKHM100027	Male	12/23/10
MKHM100028	Female	12/23/10
MKHM100029	Male	12/23/10
MKHM100030	Female	12/23/10
MKHM100031	Male	12/23/10
MKHM100032	Female	12/23/10
MKHM100034	Female	12/23/10
MKHM100035	Male	12/23/10
MKHM100036	Female	12/30/10
MKHM100037	Male	12/30/10
MKHM100038	Female	12/30/10
MKHM100039	Male	12/30/10
MKHM100040	Female	12/30/10
MKHM100041	Male	12/30/10
MKHM100042	Female	12/30/10
MKHM100043	Male	12/30/10
MKHM100044	Female	12/30/10
MKHM100045	Male	12/30/10
MKHM100046	Female	12/30/10
MKHM100047	Male	12/30/10
MKHM100048	Female	12/30/10
MKHM100049	Male	12/30/10
MKHM100050	Female	12/30/10
MKHM100051	Male	12/30/10
MKHM100052	Female	12/30/10
MKHM100053	Male	12/30/10
MKHM100054	Female	12/30/10
MKHM100055	Male	12/30/10
MKHM100056	Female	12/30/10
MKHM100058	Female	12/30/10
MKHM100059	Male	12/30/10
MKHM100060	Female	12/30/10
MKHM100061	Male	12/30/10
MKHM100062	Female	12/30/10
MKHM100063	Male	12/30/10
MKHM100064	Female	12/30/10
MKHM100065	Male	12/30/10
MKHM100066	Female	12/30/10
MKHM100067	Male	12/30/10
MKHM100068	Female	12/30/10
MKHM100069	Male	12/30/10
MKHM110001	Female	1/6/11
MKHM110002	Male	1/6/11
MKHM110003	Female	1/6/11
MKHM110004	Male	1/6/11
MKHM110005	Female	1/6/11
MKHM110006	Male	1/6/11
MKHM110007	Female	1/6/11
MKHM110008	Male	1/6/11
MKHM110009	Female	1/6/11
MKHM110010	Male	1/6/11
MKHM110011	Male	1/6/11
MKHM110012	Female	1/6/11
MKHM110013	Female	1/6/11
MKHM110014	Male	1/6/11
MKHM110015	Female	1/6/11
MKHM110016	Male	1/6/11
MKHM110017	Male	1/6/11
MKHM110018	Female	1/6/11
MKHM110019	Male	1/6/11
MKHM110020	Female	1/6/11
MKHM110021	Male	1/6/11
MKHM110022	Male	1/6/11
MKHM110023	Female	1/6/11
MKHM110024	Male	1/6/11
MKHM110025	Female	1/6/11
MKHM110026	Male	1/6/11
MKHM110027	Male	1/6/11
MKHM110028	Female	1/6/11
MKHM110029	Male	1/6/11
MKHM110030	Female	1/6/11
MKHM110031	Male	1/6/11
MKHM110032	Female	1/6/11
MKHM110033	Male	1/6/11
MKHM110034	Female	1/6/11
MKHM110035	Male	1/6/11
MKHM110036	Female	1/6/11
MKHM110037	Male	1/6/11
MKHM110038	Female	1/13/11
MKHM110039	Male	1/13/11
MKHM110040	Female	1/13/11
MKHM110041	Male	1/13/11
MKHM110042	Female	1/13/11
MKHM110043	Male	1/13/11
MKHM110044	Female	1/13/11
MKHM110045	Female	1/13/11
