Kid  Pa	Ma
MKHM130058	MKHM100005	MKHM100004
MKHM130049	MKHM100007	MKHM100006
MKHM130045	MKHM100009	MKHM100008
MKHM130030	MKHM100016	MKHM100015
MKHM140072	MKHM100021	MKHM100020
FRHM130259	MKHM100021	MKHM100020
MKHM140026	MKHM100023	MKHM100022
FRHM130841	MKHM100027	MKHM100026
MKHM140042	MKHM100027	MKHM100026
FRHM130022	MKHM100029	MKHM100028
FRHM130980	MKHM100029	MKHM100028
MKHM140025	MKHM100029	MKHM100028
MKHM140034	MKHM100029	MKHM100028
MKHM140004	MKHM100029	MKHM100028
MKHM130059	MKHM100031	MKHM100030
MKHM140013	MKHM100031	MKHM100030
MKHM140071	MKHM100031	MKHM100030
FRHM130257	MKHM100051	MKHM100050
MKHM130055	MKHM100055	MKHM100054
MKHM130062	MKHM100055	MKHM100054
MKHM140008	MKHM100055	MKHM100054
MKHM130041	MKHM100065	MKHM100064
MKHM130088	MKHM110002	MKHM110001
MKHM140163	MKHM110002	MKHM110001
MKHM130078	MKHM110004	MKHM110003
MKHM130035	MKHM110008	MKHM110007
MKHM130074	MKHM110014	MKHM110013
MKHM130046	MKHM110014	MKHM110013
MKHM130071	MKHM110014	MKHM110013
MKHM140039	MKHM110019	MKHM110018
MKHM130060	MKHM110035	MKHM110034
MKHM130042	MKHM110035	MKHM110034
MKHM130063	MKHM110035	MKHM110034
MKHM130065	MKHM110050	MKHM110049
FRHM131224	MKHM110050	MKHM110048
MKHM140027	MKHM110050	MKHM110049
MKHM130052	MKHM110056	MKHM110055
MKHM140035	MKHM110056	MKHM110055
MKHM130037	MKHM110060	MKHM110059
MKHM130053	MKHM110068	MKHM110069
FRHM130678	MKHM110068	MKHM110069
FRHM130256	MKHM110068	MKHM110069
MKHM130061	MKHM110070	MKHM110072
MKHM130031	MKHM110070	MKHM110046
FRHM131134	MKHM110076	MKHM110077
MKHM130044	MKHM110076	MKHM110077
MKHM130070	MKHM110076	MKHM110077
MKHM130043	MKHM110086	MKHM110078
FRHM131036	MKHM110093	MKHM110092
MKHM130067	MKHM110093	MKHM110092
MKHM130075	MKHM110093	MKHM110092
MKHM130064	MKHM110101	MKHM110100
MKHM140114	MKHM110101	MKHM110100
FRHM131061	MKHM110107	MKHM110106
MKHM130069	MKHM110114	MKHM110113
FRHM141149	MKHM110118	MKHM110117
FRHM130085	MKHM110123	MKHM110125
FRHM131072	MKHM110131	MKHM110130
FRHM140144	MKHM110131	MKHM110130
MKHM130073	MKHM110131	MKHM110130
MKHM140069	MKHM110131	MKHM110130
MKHM140044	MKHM110141	MKHM110140
FRHM130920	MKHM110141	MKHM110140
